"","V1","V2","V3","V4","V5"
"0",0.0207,0.0207,0.0193,0.0195,0.0199
"1",0.00116401338044581,0.00102447249021134,0.000959300168501097,0.00106793376398892,0.000995071788875962
"2",0.000948103313563385,0.000812449513866156,0.000782222117318466,0.000843948278283993,0.000789826247961398
"3",0.000768936463216515,0.000646390285246716,0.00063810990751987,0.000665233519202176,0.000624129660425229
"4",0.000623468227663514,0.0005199971387054,0.000523473696843237,0.000526412449913392,0.000494061022077417
"5",0.000508622996216459,0.000427331457949568,0.000434924073729174,0.000422323472068287,0.000395741901569681
"6",0.000421350580193852,0.000362880267814953,0.000369224052889826,0.000348084773331427,0.00032539483842431
"7",0.000358664283011977,0.000321595639635528,0.000323318886825175,0.000299134273037992,0.000279375762521034
"8",0.000317573974552078,0.000298839547113243,0.000294277187087091,0.000271175487774691,0.000254120631799531
"9",0.000295218911578433,0.000290503949310538,0.000279405024631221,0.000260298153774845,0.000246260059288356
"10",0.000300258261588935,0.000303346459583636,0.000285638964332378,0.000273750717861479,0.000262588878228074
"11",0.000300484656558523,0.000307460014666251,0.000286314337374803,0.000280424749177667,0.000274220459886237
"12",0.000311021014020491,0.000316281195675375,0.000293936849373413,0.000294206734083349,0.000293757880909935
"13",0.00033101689573933,0.000329212454661614,0.000308040184082397,0.000314180148549413,0.000319967308440733
"14",0.000358242938385946,0.000344724287183877,0.000326969864423085,0.000338337072540394,0.000350363763518165
"15",0.000412613131027642,0.000364219667086348,0.000361902563358957,0.000376946153505676,0.000407244948141478
"16",0.000442063147307406,0.000382491668085988,0.000383612160445498,0.000402120193391039,0.000432762720573458
"17",0.000466300552564612,0.000400667479641589,0.0004029868991846,0.000423999764193541,0.000449386903415127
"18",0.000484719265369023,0.00041866315334593,0.000419810922306855,0.000442335738504593,0.000457019027515104
"19",0.000496420555719527,0.000435558354184062,0.000433287762289063,0.000456362370582677,0.000455524087802577
"20",0.000486255999826764,0.000453443142222416,0.000433841081044289,0.000454687776027944,0.000414939738043192
"21",0.00049196160656048,0.000467948299031916,0.000445474943311936,0.000465872546534468,0.000410743604959576
"22",0.000498528616046933,0.000481078456714158,0.000458451203018793,0.000478399159075895,0.000412848734274645
"23",0.000507286010876941,0.000496812383779318,0.000473618193997752,0.00049321260578039,0.000422785717841629
"24",0.000518471198752615,0.000512786413756914,0.000490732489592707,0.000510134273240247,0.00044044813682235
"25",0.0005338566050503,0.0005160637061492,0.000515505903187464,0.000535547121194565,0.000487049241101977
"26",0.000552521867346334,0.000519389474484436,0.000536361783564292,0.000556405046726673,0.000513428796053205
"27",0.000575580297110084,0.000541821471153134,0.000558568757178452,0.00057861433202445,0.000540042966886703
"28",0.000603943360536735,0.000583400853499428,0.000583001582823061,0.000603049577244832,0.000566633570307339
"29",0.000637464344751087,0.000644173865000586,0.00060970048162455,0.000629751017021514,0.00060179292063288
